last_name,first_name,davenport_id,mlb_id,retrosheet_id,lahman_id,bbref_id,bats,throws
Ginn,Tinsley,GINN18910926A,114827,ginnt101,ginnti01,ginnti01,L,R
Ginsberg,Joe,GINSBERG19261011A,114828,ginsj101,ginsbjo01,ginsbjo01,L,R
Ginter,Keith,GINTER19760505A,348562,gintk001,ginteke01,ginteke01,R,R
Ginter,Matt,GINTER19771224A,215197,gintm001,gintema01,gintema01,R,R
Gionfriddo,Al,GIONFRIDD19220308A,114829,giona101,gionfal01,gionfal01,L,L
Giordano,Tommy,GIORDANO19251009A,114830,giort101,giordto01,giordto01,R,R
Giovanola,Ed,GIOVANOLA19690304A,114831,giove001,giovaed01,giovaed01,L,R
Gipson,Charles,GIPSON19721216A,133420,gipsc001,gipsoch01,gipsoch01,R,R
Girard,Charlie,GIRARD18841216A,114832,girac101,girarch01,girarch01,R,R
Girardi,Joe,GIRARDI19641014A,114833,giraj001,girarjo01,girarjo01,R,R
Gissell,Chris,GISSELL19780104A,277414,gissc001,gissech01,gissech01,R,R
Giuliani,Tony,GIULIANI19121124A,114834,giult101,giulito01,giulito01,R,R
Giusti,Dave,GIUSTI19391127A,114835,giusd101,giustda01,giustda01,R,R
Givens,Brian,GIVENS19660000A,114836,giveb001,givenbr01,givenbr01,R,L
Gladman,Buck,GLADMAN18640000A,114841,gladb101,gladmbu01,gladmbu01,,
Gladden,Dan,GLADDEN19580000A,114838,gladd001,gladdda01,gladdda01,R,R
Glade,Fred,GLADE18760125A,114840,gladf101,gladefr01,gladefr01,R,R
Gladding,Fred,GLADDING19360628A,114839,gladf102,gladdfr01,gladdfr01,L,R
Gladd,Jim,GLADD19221002A,114837,gladj101,gladdji01,gladdji01,R,R
Gladu,Roland,GLADU19110510A,114842,gladr101,gladuro01,gladuro01,L,R
Glaiser,John,GLAISER18940728A,114843,glaij101,glaisjo01,glaisjo01,L,R
Glanville,Doug,GLANVILLE19700825A,114844,gland001,glanvdo01,glanvdo01,R,R
Glasscock,Jack,GLASSCOCK18590722A,114846,glasj101,glassja01,glassja01,R,R
Glaser,Norm,GLASER18940831A,"",glasn101,glaseno01,glaseno01,R,R
Glass,Tom,GLASS18980429A,114845,glast101,glassto01,glassto01,R,R
Glauber,Keith,GLAUBER19720118A,150177,glauk001,glaubke01,glaubke01,R,R
Glaus,Troy,GLAUS19760803A,136267,glaut001,glaustr01,glaustr01,R,R
Glavenich,Luke,GLAVENICH18930117A,114847,glavl101,glavelu01,glavelu01,R,R
Glavine,Mike,GLAVINE19730124A,430403,glavm001,glavimi01,glavimi01,L,L
Glavine,Tom,GLAVINE19660325A,114849,glavt001,glavito02,glavito02,L,L
Glaviano,Tommy,GLAVIANO19231026A,114848,glavt101,glavito01,glavito01,R,R
Glaze,Ralph,GLAZE18820313A,114850,glazr101,glazera01,glazera01,R,R
Glazner,Whitey,GLAZNER18930917A,114851,glazw101,glaznwh01,glaznwh01,R,R
Gleason,Billy,GLEASON18940906A,114859,gleab101,gleasbi03,gleasbi03,R,R
Gleason,Bill,GLEASON18581112A,114857,gleab102,gleasbi01,gleasbi01,R,R
Gleason,Bill,GLEASON18680000A,114856,gleab103,gleasbi02,gleasbi02,,
Gleason,Harry,GLEASON18750328A,114852,gleah101,gleasha01,gleasha01,R,R
Gleaton,Jerry Don,GLEATON19570914A,114860,gleaj001,gleatje01,gleatje01,L,L
Gleason,Joe,GLEASON18950709A,114854,gleaj101,gleasjo01,gleasjo01,R,R
Gleason,Jack,GLEASON18540714A,114853,gleaj102,gleasja01,gleasja01,R,R
Gleason,Kid,GLEASON18661026A,114858,gleak101,gleaski01,gleaski01,B,R
Gleason,Roy,GLEASON19430409A,114855,glear101,gleasro01,gleasro01,B,R
Gleeson,Jim,GLEESON19120305A,114861,gleej101,gleesji01,gleesji01,B,R
Gleich,Frank,GLEICH18940307A,114862,gleif101,gleicfr01,gleicfr01,L,R
Glenn,Brad,GLENN19870402A,543223,glenb001,glennbr01,glennbr01,R,R
Glenn,Bob,GLENN18940616A,114865,glenb101,glennbo01,glennbo01,R,R
Glenalvin,Bob,GLENALVIN18670117A,114863,glenb102,glenabo01,glenabo01,B,R
Glenn,Ed,GLENN18751000A,114867,glene101,glenned02,glenned02,R,R
Glenn,Ed,GLENN18600919A,114866,glene102,glenned01,glenned01,R,R
Glenn,Harry,GLENN18900609A,114868,glenh101,glennha01,glennha01,L,R
Glenn,Joe,GLENN19081119A,114871,glenj101,glennjo02,glennjo02,R,R
Glenn,John,GLENN18490000A,114870,glenj102,glennjo01,glennjo01,R,R
Glenn,John,GLENN19280710A,114869,glenj103,glennjo03,glennjo03,R,R
Glendon,Martin,GLENDON18770208A,114864,glenm101,glendma01,glendma01,R,R
Gliatto,Sal,GLIATTO19020507A,114872,glias101,gliatsa01,gliatsa01,B,R
Glinatsis,George,GLINATSIS19690629A,114873,gling001,glinage01,glinage01,R,R
Gload,Ross,GLOAD19760405A,340393,gloar001,gloadro01,gloadro01,L,L
Glockson,Norm,GLOCKSON18940615A,114874,glocn101,glockno01,glockno01,R,R
Glossop,Al,GLOSSOP19150723A,114875,glosa101,glossal01,glossal01,B,R
Glover,Gary,GLOVER19761203A,150474,glovg001,glovega01,glovega01,R,R
Glynn,Bill,GLYNN19250730A,114877,glynb101,glynnbi01,glynnbi01,L,L
Glynn,Ed,GLYNN19530603A,114876,glyne001,glynned01,glynned01,R,L
Glynn,Ryan,GLYNN19741101A,150281,glynr001,glynnry01,glynnry01,R,R
Goar,Jot,GOAR18700131A,114878,goarj101,goarjo01,goarjo01,R,R
Gobble,Jimmy,GOBBLE19810719A,425471,gobbj001,gobblji01,gobblji01,L,L
Gochnauer,John,GOCHNAUER18750912A,114879,gochj101,gochnjo01,gochnjo01,R,R
Godar,John,GODAR18641025A,114880,godaj101,godarjo01,godarjo01,R,R
Godby,Danny,GODBY19461104A,114881,godbd101,godbyda01,godbyda01,R,R
Goddard,Joe,GODDARD19500723A,114882,goddj101,goddajo01,goddajo01,R,R
Godfrey,Graham,GODFREY19840809A,453232,godfg001,godfrgr01,godfrgr01,R,R
Godwin,John,GODWIN18770310A,114883,godwj101,godwijo01,godwijo01,R,R
Godwin,Tyrell,GODWIN19790710A,434880,godwt001,godwity01,godwity01,L,R
