Fighter,Opponent,Result,Event,Event_date,Method,Referee,Round,Time
Aalon Cruz,Uros Medic,loss,UFC 259 - Blachowicz vs. Adesanya,Mar / 06 / 2021,TKO (Punches),Mark Smith,1,1:40
Aalon Cruz,Spike Carlyle,loss,UFC Fight Night 169 - Benavidez vs. Figueiredo,Feb / 29 / 2020,TKO (Punches),Scott Howard,1,1:25
Aalon Cruz,Steven Nguyen,win,Dana White's Contender Series - Season 3,,,,,
Aalon Cruz,Gui Cury,win,NFC 116 - National Fighting Championship 116,Feb / 08 / 2019,Decision (Unanimous),N/A,3,5:00
Aalon Cruz,Steve Garcia,win,Fresquez Productions - Jackson-Wink Fight Night 3,Jun / 02 / 2018,Submission (Rear-Naked Choke),N/A,1,1:47
Aalon Cruz,Bruno Justo,win,RFC 41 - War,Nov / 03 / 2017,TKO (Retirement),Andrew Glenn,1,5:00
Aalon Cruz,Da'Mon Blackshear,loss,Conflict MMA Promotions - Conflict MMA 43,Jun / 24 / 2017,Submission (Rear-Naked Choke),N/A,4,3:09
Aalon Cruz,Solon Staley,win,Conflict MMA 33 - Live in the Cage,Dec / 05 / 2015,Decision (Unanimous),N/A,3,5:00
Aalon Cruz,Kamrin Naville,loss,RFC 34 - It's Time,Jul / 24 / 2015,Submission (Rear-Naked Choke),Andrew Glenn,1,4:16
Aalon Cruz,Jason Valle,win,RFC 32 - Mayhem,Nov / 21 / 2014,Submission (Triangle Choke),Josh Hosegood,2,2:06
Aalon Cruz,Joshua Millwood,win,Conflict MMA 20 - Fight Club Series,Sep / 27 / 2014,Decision (Unanimous),N/A,3,5:00
Aalon Cruz,Bradford May,win,RFC 29 - Heavy Hitters,Nov / 08 / 2013,Decision (Unanimous),N/A,3,5:00
Aaron Jeffery,Collin Huckbody,win,CFFC 93 - Cage Fury Fighting Championships 93,Mar / 12 / 2021,Decision (Unanimous),Dan Miragliotta,4,5:00
Aaron Jeffery,Andre Petroski,win,LFA 93 - Petroski vs. Jeffery,Oct / 16 / 2020,TKO (Knees and Punches),Marcio Laselva,2,4:19
Aaron Jeffery,Bruno Assis,win,SFT - Standout Fighting Tournament 23: Jesus vs. Cachorro,Aug / 13 / 2020,TKO (Punches),N/A,3,1:26
Aaron Jeffery,Dennis Olson,win,Combat Zone 71 - Prevail,Aug / 23 / 2019,TKO (Corner Stoppage),N/A,2,1:43
Aaron Jeffery,Brendan Allen,loss,Dana White's Contender Series - Season 3,,,,,
Aaron Jeffery,Jonathan Vallee,win,BTC 5 - Typhoon,Mar / 09 / 2019,TKO (Knees),N/A,4,3:00
Aaron Jeffery,Alex Beaule,win,BTC 3 - Prophecy,Jun / 23 / 2018,KO (Punches),N/A,3,0:44
Aaron Jeffery,Chad Kelly,win,Honor FC 3 - Operation Shockwave,Mar / 31 / 2018,Decision (Unanimous),N/A,3,5:00
Aaron Jeffery,T.J. Sumler,win,KOTC - Extreme Horsepower,Mar / 12 / 2016,TKO (Doctor Stoppage),N/A,1,5:00
Aaron Jeffery,Sean Brady,loss,CFFC 53 - Spohn vs. Anyanwu,Dec / 04 / 2015,Decision (Unanimous),Dan Miragliota,3,5:00
Aaron Jeffery,Dave Lastafka,win,NAAFS - Caged Vengeance 16,Mar / 07 / 2015,KO (Punches),N/A,2,3:13
Aaron Jeffery,Matt Anderson,win,OFC 22 - Hilliard vs. Cook,Oct / 11 / 2014,Submission (Triangle Choke),N/A,1,1:45
Aaron Phillips,Jack Shore,loss,UFC on ESPN 13 - Kattar vs. Ige,Jul / 15 / 2020,Submission (Rear-Naked Choke),Herb Dean,2,2:29
Aaron Phillips,Ariston Franca,win,VFL - Cajuns vs. Cowboys,Nov / 07 / 2019,TKO,N/A,1,1:16
Aaron Phillips,Devante Sewell,win,WFC - World Fighting Championships 101,Mar / 21 / 2019,Decision (Unanimous),N/A,3,5:00
Aaron Phillips,Anthony Retic,win,WFC - World Fighting Championships 97,Nov / 10 / 2018,Submission (Rear-Naked Choke),N/A,1,1:49
Aaron Phillips,Jeremy Rogers,win,WFC - World Fighting Championships 86,May / 12 / 2018,TKO (Punches),N/A,1,2:50
Aaron Phillips,Andy Brossett,win,WFC - World Fighting Championships 82,Jan / 27 / 2018,TKO,N/A,1,4:43
Aaron Phillips,Chris Gutierrez,loss,WFC - World Fighting Championships 35,Feb / 28 / 2015,TKO (Retirement),N/A,3,5:00
Aaron Phillips,Matt Hobar,loss,UFC Fight Night 49 - Henderson vs. dos Anjos,Aug / 23 / 2014,Decision (Unanimous),Kevin Nix,3,5:00
Aaron Phillips,Sam Sicilia,loss,UFC 173 - Barao vs. Dillashaw,May / 24 / 2014,Decision (Unanimous),Jason Herzog,3,5:00
Aaron Phillips,Tyler Shinn,win,C3 Fights - Border Wars 2014,Feb / 08 / 2014,Decision (Split),Anthony Macias,3,5:00
Aaron Phillips,D.J. Fuentes,win,USA MMA 23 - The Fight Before Christmas,Dec / 21 / 2013,Decision (Unanimous),N/A,3,5:00
Aaron Phillips,Joe Yeampierre,win,WFC 12 - Battle at the Belle,Oct / 11 / 2013,KO,Jordan Bass,1,1:52
Aaron Phillips,Micah Goss,win,USA MMA 22 - Lafayette vs. The World 2,Aug / 17 / 2013,TKO (Punches),N/A,1,4:32
Aaron Phillips,Ryan Hollis,win,Night of Champions - Night of Champions 4,Feb / 16 / 2013,Submission,N/A,3,0:00
Aaron Phillips,John de Jesus,win,GFA 17 - Global Fighting Alliance 17: Top Shelf Fights,Feb / 11 / 2012,Decision (Unanimous),N/A,3,5:00
Aaron Phillips,Heriberto Acuna,win,GFA - Global Fighting Alliance: SugArena Rage,Apr / 02 / 2011,KO (Punches),N/A,1,1:26
Abdul Razak Alhassan,Jacob Malkoun,loss,UFC on ESPN 22 - Whittaker vs. Gastelum,Apr / 17 / 2021,Decision (Unanimous),Chris Tognoni,3,5:00
Abdul Razak Alhassan,Kalinn Williams,loss,UFC Fight Night 182 - Felder vs. dos Anjos,Nov / 14 / 2020,KO (Punch),Mark Smith,1,0:30
Abdul Razak Alhassan,Mounir Lazzez,loss,UFC on ESPN 13 - Kattar vs. Ige,Jul / 15 / 2020,Decision (Unanimous),Daniel Movahedi,3,5:00
Abdul Razak Alhassan,Niko Price,win,UFC 228 - Woodley vs. Till,Sep / 08 / 2018,KO (Punch),Jacob Montalvo,1,0:43
Abdul Razak Alhassan,Sabah Homasi,win,UFC 220 - Miocic vs. Ngannou,Jan / 20 / 2018,KO (Punch),Steve Rita,1,3:47
Abdul Razak Alhassan,Sabah Homasi,win,UFC 218 - Holloway vs. Aldo 2,Dec / 02 / 2017,TKO (Punches),Herb Dean,1,4:21
Abdul Razak Alhassan,Omari Akhmedov,loss,UFC Fight Night 109 - Gustafsson vs. Teixeira ,May / 28 / 2017,Decision (Split),Bobby Rehman,3,5:00
Abdul Razak Alhassan,Charlie Ward,win,UFC Fight Night 99 - Mousasi vs. Hall 2,Nov / 19 / 2016,KO (Punch),Marc Goddard,1,0:53
Abdul Razak Alhassan,Jos Eichelberger,win,LFC 61 - Legacy Fighting Championship 61,Oct / 14 / 2016,TKO (Punches),Seth Fuller,1,0:57
Abdul Razak Alhassan,Ken Jackson,win,Rage in the Cage OKC 47 - Night of Champions,Aug / 13 / 2016,TKO (Punches),N/A,1,0:40
Abdul Razak Alhassan,Bryce Shepard-Mejia,win,Bellator 143 - Warren vs. Davis,Sep / 25 / 2015,KO (Punch),Kerry Hatley,1,1:26
Abdul Razak Alhassan,Matt McKeon,win,RXMMA - Rocks Xtreme MMA 12,Feb / 28 / 2015,TKO (Punches),Jay Stafin,1,0:47
Abdul Razak Alhassan,Matt Jones,win,Bellator MMA - Bellator 111,Mar / 07 / 2014,TKO (Punches),Kerry Hatley,1,1:23
Abdul Razak Alhassan,Kolby Adams,win,XKO - Xtreme Knockout 20,Nov / 23 / 2013,TKO (Punches),Steve Armstrong,1,0:25
Abdul-Kerim Edilov,Bojan Mihajlovic,win,UFC Fight Night 115 - Volkov vs. Struve,Sep / 02 / 2017,TKO (Punches),Kevin Sataki,2,2:32
Abdul-Kerim Edilov,Leonardo Gosling,win,WFCA 3 - Grozny Battle ,Jun / 13 / 2015,TKO (Kicks),Sergey Pelehovskiy,1,0:36
Abdul-Kerim Edilov,Tiago Monaco Tosato,win,WFCA 1 - Grozny Battle ,Mar / 14 / 2015,Submission (Rear-Naked Choke),Nikolay Sharipov,1,2:28
Abdul-Kerim Edilov,Gilliard Alfredo Fagundes,win,Fight Nights - Battle of Moscow 18,Dec / 20 / 2014,Submission (Rear-Naked Choke),N/A,1,0:50
Abdul-Kerim Edilov,Cristhian Torres,win,ACB 10 - Coliseum Time,Oct / 04 / 2014,Submission (Rear-Naked Choke),N/A,1,1:42
Abdul-Kerim Edilov,Fernando Almeida,win,Absolute Championship Berkut - Grand Prix Berkut 9,Jun / 22 / 2014,TKO (Punches),Ashot Ashughyan,1,2:17
Abdul-Kerim Edilov,Lahat Faye,win,Fight Nights - Battle of Moscow 15,Mar / 28 / 2014,TKO (Punch and Soccer Kick),N/A,1,N/A
Abdul-Kerim Edilov,Pavel Tretyakov,win,Fight Nights - Krepost Selection 3,Feb / 15 / 2014,TKO (Punches),Vladimir Osiya,1,2:28
Abdul-Kerim Edilov,Michal Gutowski,win,Fight Nights - Battle on Terek,Oct / 04 / 2013,TKO (Punches),N/A,1,0:37
Abdul-Kerim Edilov,Radjabov Sohib,win,CWFC 58 - Cage Warriors Fighting Championship 58,Aug / 24 / 2013,Submission (Rear-Naked Choke),Neil Hall,1,0:45
Abdul-Kerim Edilov,Jiri Prochazka,win,Fight Nights - Battle of Moscow 12,Jun / 20 / 2013,Submission (Rear-Naked Choke),N/A,1,1:56
Abdul-Kerim Edilov,Charles Andrade,loss,Fight Nights - Battle of Moscow 11,Apr / 20 / 2013,Submission (Guillotine Choke),N/A,1,0:58
Abdul-Kerim Edilov,Nicholas Babchuk,win,Fight Nights - Battle of Moscow 9,Dec / 16 / 2012,Submission (Rear-Naked Choke),Valentin Tarasov,1,1:14
Abdul-Kerim Edilov,Gadzhimurad Antigulov,win,DFC - Dictator Fighting Championship 1,Jun / 28 / 2012,TKO (Punches),N/A,1,2:28
Abdul-Kerim Edilov,Viktor Nemkov,loss,League S-70 - Russian Championship Third Round,Apr / 06 / 2012,Decision (Unanimous),N/A,3,5:00
Abdul-Kerim Edilov,Alexander Grebenkin,win,ProFC - ProFC 22,Dec / 17 / 2010,TKO (Punches),N/A,1,2:40
Abdul-Kerim Edilov,Murad Kamilov,win,ProFC - Russia Cup Stage 1,Nov / 13 / 2010,TKO (Punches),N/A,1,1:30
Abdul-Kerim Edilov,Dmitry Surnev,win,ProFC - Russia Cup Stage 1,Nov / 13 / 2010,Submission (Triangle Choke),N/A,1,2:36
Abdul-Kerim Edilov,Abdurahman Nurmagomedov,loss,GFP - Golden Fist Russia,Jun / 10 / 2010,Technical Submission (Triangle Choke),N/A,1,1:59
Abdul-Kerim Edilov,Igor Savelyev,win,M-1 Selection 2010 - Eastern Europe Round 2,Apr / 10 / 2010,Decision (Unanimous),N/A,2,5:00
Abdul-Kerim Edilov,Stanislav Molodcov,loss,PAC - Pancration Atrium Cup 2,Mar / 10 / 2010,Submission (Rear-Naked Choke),N/A,1,2:11
Abu Azaitar,Marc-Andre Barriault,loss,UFC 260 - Miocic vs. Ngannou 2,Mar / 27 / 2021,TKO (Punches),Jerin Valel,3,4:56
Abu Azaitar,Vitor Miranda,win,UFC Fight Night 134 - Shogun vs. Smith,Jul / 22 / 2018,Decision (Unanimous),Kevin Sataki,3,5:00
Abu Azaitar,Michael Arrant,win,WSOF 33 - Branch vs. Magalhaes,Oct / 07 / 2016,Decision (Unanimous),Marc Wasem,3,5:00
Abu Azaitar,Danny Davis Jr.,win,WSOF 30 - Branch vs. Starks,Apr / 02 / 2016,Decision (Unanimous),John McCarthy,3,5:00
Abu Azaitar,Ibragim Tibilov,win,ACB 27 - Dushanbe ,Dec / 20 / 2015,TKO (Punches),Alexander Sidorin,1,1:53
Abu Azaitar,Rafal Lewon,win,GMC 6 - German MMA Championship 6,Apr / 18 / 2015,Decision (Unanimous),Wolf Menninger,5,5:00
Abu Azaitar,Piotr Strus,draw,KSW 27 - Cage Time,May / 17 / 2014,Draw (Majority),Herb Dean,3,5:00
Abu Azaitar,Jack Marshman,win,CWFC  - Fight Night 10,Mar / 28 / 2014,TKO (Punches),Marc Goddard,1,0:34
Abu Azaitar,Krzysztof Kulak,win,KSW 25 - Khalidov vs. Sakurai,Dec / 07 / 2013,TKO (Punches),Piotr Baginski,1,2:20
Abu Azaitar,Marcin Naruszczka,win,GMC 4 - Next Level,Jul / 06 / 2013,TKO (Punches),Patrick Drees,2,2:15
Abu Azaitar,Roman Kapranov,win,KK 8 - Kombat Komplett,Feb / 02 / 2013,TKO (Punches),Anthony Harris,1,4:30
Abu Azaitar,Marcin Naruszczka,loss,RFC - Respect Fighting Championship 8,Sep / 22 / 2012,TKO (Doctor Stoppage),N/A,1,5:00
Abu Azaitar,Martin Zawada,win,RFC - Respect Fighting Championship 7,Apr / 21 / 2012,Decision (Unanimous),N/A,3,5:00
Abu Azaitar,Nils Wernersbach,win,SFC 8 - Tournament 2012 Part I,Feb / 04 / 2012,TKO (Punches),Kurt Braun,1,0:12
Abu Azaitar,Andrei Embolaev,win,SFC 7 - M-1 Fighter Europe,Nov / 26 / 2011,Decision (Unanimous),N/A,2,5:00
Abu Azaitar,Dimitri Dzhumburidze,win,SFC 6 - Germany vs. Georgia,Sep / 17 / 2011,TKO (Punches),Kurt Braun,1,0:18
Abu Azaitar,Sadnin Katica,win,TFS - Mix Fight Gala Open Air,Jul / 23 / 2011,Submission (Rear-Naked Choke),N/A,1,0:00
Abu Azaitar,Volker Dietz,win,K1M - K1 Maximum,Jun / 27 / 2009,TKO (Punch),N/A,1,1:15
Abubakar Nurmagomedov,Jared Gooden,win,UFC 260 - Miocic vs. Ngannou 2,Mar / 27 / 2021,Decision (Unanimous),Mark Smith,3,5:00
Abubakar Nurmagomedov,David Zawada,loss,UFC Fight Night 163 - Magomedsharipov vs. Kattar,Nov / 09 / 2019,Submission (Triangle Choke),Marc Goddard,1,2:50
Abubakar Nurmagomedov,Bojan Velickovic,draw,Professional Fighters League - PFL 10: 2018 Season PFL Playoffs 3,Oct / 20 / 2018,Draw (Unanimous),Kevin Mulhall,2,5:00
Abubakar Nurmagomedov,Jonatan Westin,win,Professional Fighters League - PFL 6: 2018 Regular Season,Aug / 16 / 2018,Decision (Unanimous),Keith Peterson,3,5:00
Abubakar Nurmagomedov,Pavel Kusch,loss,Professional Fighters League - PFL 3: 2018 Regular Season,Jul / 05 / 2018,Submission (Rear-Naked Choke),Fernando Yamasaki,2,1:23
Abubakar Nurmagomedov,Matt Secor,win,WSOF 35 - Ivanov vs. Jordan,Mar / 18 / 2017,Decision (Unanimous),Dan Miragliotta,3,5:00
Abubakar Nurmagomedov,John Howard,win,WSOF 33 - Branch vs. Magalhaes,Oct / 07 / 2016,Decision (Unanimous),Mike England,3,5:00
Abubakar Nurmagomedov,Matthew Frincu,win,WSOF 30 - Branch vs. Starks,Apr / 02 / 2016,TKO (Punches),Mark Smith,2,3:05
Abubakar Nurmagomedov,Danny Davis Jr.,win,WSOF 26 - Palmer vs. Almeida,Dec / 18 / 2015,Decision (Unanimous),Kim Winslow,3,5:00
Abubakar Nurmagomedov,Jorge Moreno,win,WSOF 22 - Palhares vs. Shields,Aug / 01 / 2015,Decision (Unanimous),Steve Mazzagatti,3,5:00
Abubakar Nurmagomedov,Vladimir Gindzhu,win,Fight Star - Battle on Sura 3,Feb / 22 / 2015,TKO (Punches),N/A,1,N/A
Abubakar Nurmagomedov,Magomed Mustafaev,loss,Sochi Star Club - Sochi Star Tournament 1,Sep / 01 / 2014,TKO (Doctor Stoppage),Vladimir Kosheev,1,4:11
Abubakar Nurmagomedov,Richard Totrov,win,Sochi Star Club - Sochi Star Tournament 1,Sep / 01 / 2014,Submission (Rear-Naked Choke),Vladimir Kosheev,1,4:27
Abubakar Nurmagomedov,Dmitrii Capmari,win,Union of Veterans of Sport - Cup of Champions,Dec / 21 / 2013,TKO (Punches),Ashot Ashugyan,1,3:36
Abubakar Nurmagomedov,Magomed Shakhbanov,win,Liga Kavkaz - Grand Umakhan Battle,Jul / 07 / 2013,TKO (Punches),Gusein Gaziev,2,1:46
Abubakar Nurmagomedov,Yuri Grigoryan,win,Russian MMA Union - St. Petersburg MMA Championship 1,Mar / 31 / 2013,Submission (Kimura),N/A,1,1:40
Abubakar Nurmagomedov,Adylbek Zholdoshov,win,OctagonMMA Warriors - Nurmagomedov vs. Akinin,Feb / 21 / 2013,TKO (Punches),N/A,1,3:40
Abubakar Nurmagomedov,Sergei Akinin,win,OctagonMMA Warriors - Nurmagomedov vs. Akinin,Feb / 21 / 2013,TKO (Corner Stoppage),N/A,1,2:30
Abubakar Nurmagomedov,Anatoly Safronov,win,LK - Liga Kavkaz 2012,Jul / 03 / 2012,Submission (Triangle Choke),N/A,1,2:30
Abubakar Nurmagomedov,Ibrahim Dzhantukhanov,win,ProFC - Battle in the Caucasus,Oct / 22 / 2011,Submission (Armbar),N/A,1,1:32
Adam Milstead,Mike Rodriguez,loss,UFC on Fox 31 - Iaquinta vs. Lee 2,Dec / 15 / 2018,TKO (Knee to the Body and Punches),Rob Hinds,1,2:59
Adam Milstead,Jordan Johnson,loss,UFC 222 - Cyborg vs. Kunitskaya,Mar / 03 / 2018,Decision (Split),Mark Smith,3,5:00
Adam Milstead,Curtis Blaydes,NC,UFC Fight Night 104 - Bermudez vs. Korean Zombie,Feb / 04 / 2017,No Contest (Overturned),Kerry Hatley,2,0:59
Adam Milstead,Chris de la Rocha,win,UFC Fight Night 88 - Almeida vs. Garbrandt,May / 29 / 2016,TKO (Punches),Chris Tognoni,2,4:01
Adam Milstead,Robert Morrow,win,KOTC - Hands of Steel,Sep / 26 / 2015,TKO (Punches),Bill Bookwalter,1,1:55
Adam Milstead,Lewis Rumsey,win,GOTC MMA - Gladiators of the Cage 18,Aug / 22 / 2015,TKO (Punches),Chip Snider,1,1:10
Adam Milstead,Nick Smiley,win,Pinnacle FC - Pittsburgh Challenge Series 8,Jul / 12 / 2014,TKO (Punches),Chip Snider,1,0:58
Adam Milstead,Tex Trismegistus,win,Gladiators of the Cage - The North Shore's Rise to Power,Jan / 26 / 2013,Submission (Armbar),Chip Snider,2,4:10
Adam Milstead,Bobby Gurley,win,Pinnacle FC - Pittsburgh Challenge Series 1,Dec / 29 / 2012,TKO (Punches),Chip Snider,1,3:49
Adam Milstead,DeAndre Billingsley,win,NAAFS - Midwest Combat Challenge 22,Sep / 21 / 2012,Submission (Guillotine Choke),N/A,1,1:20
Adam Milstead,Nathan Bryant,win,NAAFS - Caged Fury 17,Apr / 27 / 2012,KO (Punches),Robert Riley,2,3:14
Adam Milstead,Dane Bonnigson,loss,NAAFS - Spohn vs. Hawk 2,May / 21 / 2011,TKO (Punches),N/A,1,2:51
Adam Wieczorek,Marcos Rogerio de Lima,loss,UFC 230 - Cormier vs. Lewis,Nov / 03 / 2018,Decision (Unanimous),Dan Miragliotta,3,5:00
Adam Wieczorek,Arjan Singh Bhullar,win,UFC on Fox 29 - Poirier vs. Gaethje,Apr / 14 / 2018,Submission (Omoplata),Al Guinee,2,1:59
Adam Wieczorek,Anthony Hamilton,win,UFC Fight Night 121 - Werdum vs. Tybura,Nov / 18 / 2017,Decision (Unanimous),Leon Roberts,3,5:00
Adam Wieczorek,Ernesto Papa,win,Spartan Fight 5 - Browarski vs. Conti,Oct / 08 / 2016,Submission (Rear-Naked Choke),Grzegorz Skibniewski,0,N/A
Adam Wieczorek,Zoumana Cisse,win,PLMMA 67 - Nastula Cup 1,May / 21 / 2016,TKO (Punches),Piotr Michalak,1,5:06
Adam Wieczorek,Kevin Wiwatowski,win,PLMMA 61 / AFC 5 - Bytom,Dec / 05 / 2015,Submission (Armbar),Marian Ziolkowski,3,3:25
Adam Wieczorek,Filip Toe,win,PLMMA 56 - Bielsko-Biala,Jun / 19 / 2015,TKO (Punches),Piotr Michalak,1,3:54
Adam Wieczorek,Bartosz Jablonski,win,PLMMA 51 - Kalisz,Mar / 14 / 2015,Submission (Armbar),Piotr Michalak,1,1:48
Adam Wieczorek,Andrzej Deberny,win,FA 10 - Fighters Arena 10,Nov / 22 / 2014,Submission (Armbar),Piotr Michalak,1,1:40
Adam Wieczorek,Ryszard Raszkiewicz,win,MMAC - MMA Challengers 9,Feb / 22 / 2014,TKO (Punches),Krzysztof Kulak,2,3:53
Adam Wieczorek,Marcin Tybura,loss,PMMAF - Polish MMA Championships Finals,Nov / 05 / 2011,Decision (Unanimous),N/A,2,5:00
Adam Wieczorek,Adam Bizon,win,PMMAF - Polish MMA Championships Finals,Nov / 05 / 2011,Submission (Armbar),N/A,1,2:23
Adam Yandiev,Jordan Johnson,loss,UFC Fight Night 136 - Hunt vs. Oleynik,Sep / 15 / 2018,Submission (Arm-Triangle Choke),Marc Goddard,2,0:42
Adam Yandiev,Dmitry Voitov,win,M-1 Challenge 62 - Buchinger vs. Barnaoui,Oct / 10 / 2015,Submission (Neck Crank),Lukasz Bosacki,1,4:34
Adam Yandiev,Valdas Pocevicius,win,M-1 Challenge 58 - Battle in the Mountains 4,Jun / 06 / 2015,Submission (Rear-Naked Choke),Marco Broersen,1,1:35
Adam Yandiev,Donald Njatah Nya,win,OFS - Octagon Fighting Sensation 4,May / 16 / 2015,Submission (Rear-Naked Choke),Ashot Ashugyan,1,2:39
Adam Yandiev,Dmitriy Adeev,win,M-1 Challenge 57 - Battle in the Heart of the Continent,May / 02 / 2015,Submission (Guillotine Choke),Marco Broersen,1,1:04
Adam Yandiev,Konstantin Skrelya,win,ProFC 57 - New Era,Mar / 29 / 2015,TKO (Punches),N/A,1,1:01
Adam Yandiev,Vladimir Brik,win,OFS - Octagon Fighting Sensation 3,Feb / 28 / 2015,Submission (North-South Choke),Vyacheslav Kiselev,1,2:08
Adam Yandiev,Artiom Sidorenko,win,Fight Star - Battle on Sura 3,Feb / 22 / 2015,TKO (Punches),N/A,1,0:17
Adam Yandiev,Evgeniy Terekhov,win,RFP - Ascending Star 1,Dec / 30 / 2014,TKO (Punches),Oleg Saievych,1,1:22
Adam Yandiev,Valeri Shpak,win,Fight Nights - Battle of Moscow 18,Dec / 20 / 2014,Submission (Neck Crank),N/A,1,2:19
Adlan Amagov,Dirlei Broenstrup,win,League S-70 - Plotforma 7th,Aug / 21 / 2016,Submission (Armbar),N/A,1,2:18
Adlan Amagov,T.J. Waldburger,win,UFC 166 - Velasquez vs. Dos Santos 3,Oct / 19 / 2013,KO (Punches),Jay Stafin,1,3:00
Adlan Amagov,Chris Spang,win,UFC on Fuel TV 9 - Mousasi vs. Latifi,Apr / 06 / 2013,Decision (Unanimous),Leon Roberts,3,5:00
Adlan Amagov,Keith Berry,win,Strikeforce - Rousey vs. Kaufman,Aug / 18 / 2012,TKO (Leg Kick and Punches),Herb Dean,1,0:48
Adlan Amagov,Robbie Lawler,loss,Strikeforce - Rockhold vs. Jardine,Jan / 07 / 2012,TKO (Flying Knee and Punches),Steve Mazzagatti,1,1:48
Adlan Amagov,Anthony Smith,win,Strikeforce - Challengers 20,Nov / 18 / 2011,KO (Punches),Chris Tognoni,1,2:32
Adlan Amagov,Ron Stallings,win,Strikeforce - Challengers 17,Jul / 22 / 2011,Decision (Split),Steve Mazzagatti,3,5:00
Adlan Amagov,Evgeny Erokhin,win,Draka - Governor's Cup 2010,Dec / 18 / 2010,TKO (Head Kick and Punches),N/A,1,2:28
Adlan Amagov,Aleksandar Radosavljevic,win,ProFC - Union Nation Cup 8,Oct / 01 / 2010,TKO (Doctor Stoppage),N/A,1,2:10
Adlan Amagov,Attila Vegh,draw,APF - Azerbaijan vs. Europe,May / 22 / 2010,Draw,N/A,3,5:00
Adlan Amagov,Shamil Tinagadzhiev,win,ProFC - Commonwealth Cup,Apr / 23 / 2010,Decision (Unanimous),N/A,2,5:00
Adlan Amagov,Denys  Liadovyi,win,ProFC - Union Nation Cup 5,Feb / 13 / 2010,TKO (Punches),N/A,1,2:58
Adlan Amagov,Maskhat Akhmetov,win,ProFC - Union Nation Cup 4,Dec / 19 / 2009,KO (Head Kick),N/A,1,0:17
Adlan Amagov,Gadzhimurad Antigulov,win,ProFC - Union Nation Cup 2,Sep / 25 / 2009,KO (Punches),N/A,1,4:05
Adlan Amagov,Besiki Gerenava,win,ProFC - President Cup,Oct / 25 / 2008,Decision (Unanimous),N/A,3,5:00
Adlan Amagov,Ansar Chalangov,win,Perm Regional MMA Federation - MMA Professional Cup,Apr / 25 / 2008,Decision (Unanimous),N/A,2,5:00
Adlan Amagov,Alexey Oleynik,loss,Perm Regional MMA Federation   - MMA Professional Cup,Nov / 23 / 2007,Submission (Ezekiel Choke),N/A,1,0:00
Adrian Yanez,Randy Costa,win,UFC on ESPN 27 - Sandhagen vs. Dillashaw,Jul / 24 / 2021,TKO (Punches),Chris Tognoni,2,2:11
Adrian Yanez,Gustavo Lopez,win,UFC on ESPN 21 - Brunson vs. Holland,Mar / 20 / 2021,KO (Punch),Chris Tognoni,3,0:27
Adrian Yanez,Victor Rodriguez,win,UFC Fight Night 181 - Hall vs. Silva,Oct / 31 / 2020,KO (Head Kick),Herb Dean,1,2:46
Adrian Yanez,Brady Huang,win,Dana White's Contender Series - Contender Series 2020: Week 2,Aug / 11 / 2020,TKO (Punches),Jason Herzog,1,0:39
Adrian Yanez,Kyle Estrada,win,LFA 78 - Yanez vs. Estrada,Nov / 15 / 2019,Decision (Split),Jon Schorle,3,5:00
Adrian Yanez,Michael Rodriguez,win,Fury FC 33 - Fury Fighting Championship 33,Jun / 29 / 2019,TKO (Punches),Kevin Hancock,1,3:14
Adrian Yanez,Warren Stewart,win,Fury FC 29 - Fury Fighting Championship 29,Jan / 25 / 2019,TKO (Punches),Chris Reed,2,1:46
Adrian Yanez,Miles Johns,loss,LFA 55 - Johns vs. Yanez,Nov / 30 / 2018,Decision (Split),Aaron Menard,5,5:00
Adrian Yanez,Nathan Trepagnier,win,LFA 35 - Newell vs. Luque,Mar / 09 / 2018,KO (Punch),Chris Reed,1,4:56
Adrian Yanez,Trent Meaux,win,LFA 26 - Odoms vs. Hughes,Nov / 03 / 2017,Decision (Unanimous),Joe Soliz,3,5:00
Adrian Yanez,Domingo Pilarte,loss,LFA 7 - Sanchez vs. Mai,Mar / 24 / 2017,Decision (Split),Patrick Patlan,3,5:00
Adrian Yanez,Colin Wright,win,LFC 59 - Legacy Fighting Championship 59,Sep / 16 / 2016,Submission (Armbar),N/A,3,2:44
Adrian Yanez,Ryan Hollis,win,Bellator 149 - Shamrock vs. Gracie,Feb / 19 / 2016,Decision (Unanimous),Jacob Montalvo,3,5:00
Adrian Yanez,D'Nearon Seymore,win,FF - Fury Fighting 7,Jul / 11 / 2015,Submission (Triangle Choke),Patrick Patlin,1,1:31
Adrian Yanez,Jake Snyder,win,FF - Fury Fighting 6,May / 22 / 2015,TKO (Punches),Robert Alexander,2,0:10
Adrian Yanez,Levi Mowles,loss,LFC 37 - Legacy Fighting Championship 37,Nov / 14 / 2014,Decision (Unanimous),Jacob Montalvo,3,5:00
Adrian Yanez,Richard Delfin,win,TCT - Texas City Throwdown 1,Mar / 14 / 2014,TKO (Punches),Kevin Hancock,3,0:28
Aiemann Zahabi,Drako Rodriguez,win,UFC Fight Night 185 - Blaydes vs. Lewis,Feb / 20 / 2021,KO (Punches),Mark Smith,1,3:05
Aiemann Zahabi,Vince Morales,loss,UFC Fight Night 151 - Iaquinta vs. Cowboy,May / 04 / 2019,Decision (Unanimous),Kevin MacDonald,3,5:00
