Run Date,Event,Gender,Rk,Bib Number,Run,Country Code,Name,Start Time (Rk),Interval 1 Time (Rk),Interval 2 Time (Rk),Interval 3 Time (Rk),Sp (km/h),Speed (mph),Finish Time (Rk),Time Behind,Total Run Time,Medal
2/10/2018,Olympic Games - Pyeongchang,M,8,6,1,OAR,REPILOV Roman,2.570  2,15.036 7,27.409 6,37.191 5,121.4,75.4,47.776 4,+0.124,3:11.108,0
2/10/2018,Olympic Games - Pyeongchang,M,8,6,2,OAR,REPILOV Roman,2.573  1,15.041  6,27.411 6,37.153 2,121.5,75.5,47.740 3,+0.115,3:11.108,0
2/11/2018,Olympic Games - Pyeongchang,M,8,6,3,OAR,REPILOV Roman,2.565 2,15.036 5,27.376 7,37.233 13,126.6,78.6,47.948 15,+0.414,3:11.108,0
2/11/2018,Olympic Games - Pyeongchang,M,8,6,4,OAR,REPILOV Roman,2.573  1,15.062 7,27.406 8,37.114 4,121.8,75.7,47.644 5,+0.169,3:11.108,0
2/10/2018,Olympic Games - Pyeongchang,M,14,1,1,OAR,PAVLICHENKO Semen,2.573 5,15.033  5,27.386 4,37.399 19,125.1,77.7,48.337 24,+0.685,3:11.859,0
2/10/2018,Olympic Games - Pyeongchang,M,14,1,2,OAR,PAVLICHENKO Semen,2.581 6,15.065 11,27.483 12,37.283 14,125.4,77.9,47.923 12,+0.298,3:11.859,0
2/11/2018,Olympic Games - Pyeongchang,M,14,1,3,OAR,PAVLICHENKO Semen,2.583 5,15.081 10,27.461 13,37.186 9,125.6,78.1,47.716 8,+0.182,3:11.859,0
2/11/2018,Olympic Games - Pyeongchang,M,14,1,4,OAR,PAVLICHENKO Semen,2.589 5,15.100 11,27.498 15,37.28 15,124.5,77.4,47.883 15,+0.408,3:11.859,0
2/10/2018,Olympic Games - Pyeongchang,M,15,7,1,AUT,EGGER Reinhard,2.613 17,15.059 10,27.442 11,37.313 10,123.1,76.5,48.221 20,+0.569,3:11.927,0
2/10/2018,Olympic Games - Pyeongchang,M,15,7,2,AUT,EGGER Reinhard,2.599 14,15.066 12,27.438 10,37.245 6,123,76.4,47.903 11,+0.278,3:11.927,0
2/11/2018,Olympic Games - Pyeongchang,M,15,7,3,AUT,EGGER Reinhard,2.612 19,15.133 17,27.519 16,37.311 16,123.8,76.9,47.963 17,+0.429,3:11.927,0
2/11/2018,Olympic Games - Pyeongchang,M,15,7,4,AUT,EGGER Reinhard,2.618 14,15.103 12,27.456 11,37.216 8,126.4,78.5,47.840 10,+0.365,3:11.927,0
2/10/2018,Olympic Games - Pyeongchang,M,16,25,1,CAN,MALYK Mitchel,2.621 24,15.146 19,27.573 20,37.397 18,124.6,77.4,48.075 17,+0.423,3:11.946,0
2/10/2018,Olympic Games - Pyeongchang,M,16,25,2,CAN,MALYK Mitchel,2.630 25,15.158 24,27.544 21,37.367 18,125.2,77.8,48.050 18,+0.425,3:11.946,0
2/11/2018,Olympic Games - Pyeongchang,M,16,25,3,CAN,MALYK Mitchel,2.651 29,15.224 30,27.612 26,37.362 19,124.1,77.1,47.952 16,+0.418,3:11.946,0
2/11/2018,Olympic Games - Pyeongchang,M,16,25,4,CAN,MALYK Mitchel,2.657 19,15.133 14,27.494 14,37.268 12,126.3,78.5,47.869 12,+0.394,3:11.946,0
2/10/2018,Olympic Games - Pyeongchang,M,17,20,1,ITA,RIEDER Emanuel,2.596 12,15.080 15,27.510 15,37.35 14,124.4,77.3,48.040 14,+0.388,3:12.141,0
2/10/2018,Olympic Games - Pyeongchang,M,17,20,2,ITA,RIEDER Emanuel,2.577  3,15.052 9,27.519 18,37.365 17,124.7,77.5,48.047 17,+0.422,3:12.141,0
2/11/2018,Olympic Games - Pyeongchang,M,17,20,3,ITA,RIEDER Emanuel,2.625 24,15.104 15,27.487 15,37.303 15,125.9,78.2,47.972 18,+0.438,3:12.141,0
2/11/2018,Olympic Games - Pyeongchang,M,17,20,4,ITA,RIEDER Emanuel,2.594 7,15.089 9,27.470 13,37.297 18,125.1,77.7,48.082 18,+0.607,3:12.141,0
2/10/2018,Olympic Games - Pyeongchang,M,12,24,1,CAN,WATTS Reid,2.617 19,15.148 23,27.575 22,37.356 15,124.3,77.2,47.960 12,+0.308,3:11.490,0
2/10/2018,Olympic Games - Pyeongchang,M,12,24,2,CAN,WATTS Reid,2.633 26,15.138 20,27.542 20,37.319 16,124.3,77.2,47.895 10,+0.270,3:11.490,0
2/11/2018,Olympic Games - Pyeongchang,M,12,24,3,CAN,WATTS Reid,2.627 25,15.163 24,27.532 17,37.263 14,124.6,77.4,47.787 11,+0.253,3:11.490,0
2/11/2018,Olympic Games - Pyeongchang,M,12,24,4,CAN,WATTS Reid,2.631 17,15.160 18,27.522 17,37.271 13,123.8,76.9,47.848 11,+0.373,3:11.490,0
2/10/2018,Olympic Games - Pyeongchang,M,13,22,1,OAR,FEDOROV Stepan,2.572 4,15.051 9,27.463 12,37.320 11,123.7,76.8,48.035 13,+0.383,3:11.608,0
2/10/2018,Olympic Games - Pyeongchang,M,13,22,2,OAR,FEDOROV Stepan,2.595 11,15.019 4,27.402 4,37.254 8,131.2,81.5,47.936 13,+0.311,3:11.608,0
2/11/2018,Olympic Games - Pyeongchang,M,13,22,3,OAR,FEDOROV Stepan,2.586  7,15.056 8,27.438 11,37.187 10,120.7,75,47.755 9,+0.221,3:11.608,0
2/11/2018,Olympic Games - Pyeongchang,M,13,22,4,OAR,FEDOROV Stepan,2.573  1,15.050 6,27.441 10,37.236 10,124,77,47.882 14,+0.407,3:11.608,0
2/10/2018,Olympic Games - Pyeongchang,M,9,2,1,AUT,KINDL Wolfgang,2.641 28,15.097 16,27.593 23,37.382 16,124.6,77.4,47.955 11,+0.303,3:11.133,0
2/10/2018,Olympic Games - Pyeongchang,M,9,2,2,AUT,KINDL Wolfgang,2.625 21,15.148 22,27.551 22,37.317 15,123.1,76.5,47.858 9,+0.233,3:11.133,0
2/11/2018,Olympic Games - Pyeongchang,M,9,2,3,AUT,KINDL Wolfgang,2.620 21,15.131 16,27.475 14,37.22 12,123,76.4,47.799 12,+0.265,3:11.133,0
2/11/2018,Olympic Games - Pyeongchang,M,9,2,4,AUT,KINDL Wolfgang,2.630 16,15.134 16,27.409 9,37.072 2,124.2,77.1,47.521 2,+0.046,3:11.133,0
2/10/2018,Olympic Games - Pyeongchang,M,10,10,1,GER,LANGENHAN Andi,2.581  7,14.993 3,27.434 10,37.333 13,130.9,81.3,48.083 18,+0.431,3:11.433,0
2/10/2018,Olympic Games - Pyeongchang,M,10,10,2,GER,LANGENHAN Andi,2.573  1,14.964 1,27.358 1,37.175 5,131.5,81.7,47.850 8,+0.225,3:11.433,0
2/11/2018,Olympic Games - Pyeongchang,M,10,10,3,GER,LANGENHAN Andi,2.580 4,14.972 1,27.293 2,37.043 3,126.4,78.5,47.630 7,+0.096,3:11.433,0
2/11/2018,Olympic Games - Pyeongchang,M,10,10,4,GER,LANGENHAN Andi,2.582 3,15.029 2,27.389 6,37.226 9,124.5,77.4,47.870 13,+0.395,3:11.433,0
2/10/2018,Olympic Games - Pyeongchang,M,11,8,1,LAT,APARJODS Kristers,2.617 19,15.071 13,27.412 7,37.192 6,122,75.8,47.822 6,+0.170,3:11.456,0
2/10/2018,Olympic Games - Pyeongchang,M,11,8,2,LAT,APARJODS Kristers,2.610 17,15.096 11,27.437 10,37.203 11,121.5,75.5,47.858 13,+0.324,3:11.456,0
2/11/2018,Olympic Games - Pyeongchang,M,11,8,3,LAT,APARJODS Kristers,2.615 13,15.133 14,27.457 12,37.274 14,121.6,75.6,47.942 17,+0.467,3:11.456,0
2/10/2018,Olympic Games - Pyeongchang,M,18,23,1,USA,MORRIS Taylor,2.648 30,15.180 27,27.555 19,37.4 20,128.6,79.9,48.072 15,+0.420,3:12.547,0
2/10/2018,Olympic Games - Pyeongchang,M,18,23,2,USA,MORRIS Taylor,2.650 29,15.156 23,27.496 14,37.694 29,125.3,77.8,48.793 32,+1.168,3:12.547,0
2/11/2018,Olympic Games - Pyeongchang,M,18,23,3,USA,MORRIS Taylor,2.655 31,15.216 28,27.586 22,37.338 17,125.9,78.2,47.858 13,+0.324,3:12.547,0
2/11/2018,Olympic Games - Pyeongchang,M,18,23,4,USA,MORRIS Taylor,2.661 20,15.207 20,27.562 19,37.309 19,126.2,78.4,47.824 9,+0.349,3:12.547,0
2/10/2018,Olympic Games - Pyeongchang,M,19,26,1,POL,KUROWSKI Maciej,2.630 25,15.147 21,27.533 18,37.382 16,120.8,75.1,48.103 19,+0.451,3:12.613,0
2/10/2018,Olympic Games - Pyeongchang,M,19,26,2,POL,KUROWSKI Maciej,2.651 30,15.204 31,27.798 33,37.702 30,123.3,76.6,48.467 24,+0.842,3:12.613,0
2/11/2018,Olympic Games - Pyeongchang,M,19,26,3,POL,KUROWSKI Maciej,2.642 27,15.173 25,27.550 18,37.403 21,123.8,76.9,48.158 22,+0.624,3:12.613,0
2/11/2018,Olympic Games - Pyeongchang,M,19,26,4,POL,KUROWSKI Maciej,2.637 18,15.173 19,27.530 18,37.291 16,121.5,75.5,47.885 16,+0.410,3:12.613,0
2/10/2018,Olympic Games - Pyeongchang,M,20,17,1,LAT,KIVLENIEKS Inars,2.577 6,15.060 12,27.488 13,37.433 22,125.8,78.2,48.274 21,+0.622,3:12.822,0
2/10/2018,Olympic Games - Pyeongchang,M,20,17,2,LAT,KIVLENIEKS Inars,2.599 14,15.078 13,27.486 13,37.486 20,122.6,76.2,48.370 22,+0.745,3:12.822,0
2/11/2018,Olympic Games - Pyeongchang,M,20,17,3,LAT,KIVLENIEKS Inars,2.586  7,15.096 11,27.550 18,37.379 20,125.6,78,48.066 20,+0.532,3:12.822,0
2/11/2018,Olympic Games - Pyeongchang,M,20,17,4,LAT,KIVLENIEKS Inars,2.590 6,15.132 13,27.579 20,37.429 20,121.2,75.3,48.112 20,+0.637,3:12.822,0
2/10/2018,Olympic Games - Pyeongchang,M,21,16,1,CZE,HYMAN Ondrej,2.638 27,15.191 29,27.723 28,37.608 25,119.7,74.4,48.324 23,+0.672,2:24.913,0
2/10/2018,Olympic Games - Pyeongchang,M,21,16,2,CZE,HYMAN Ondrej,2.652 31,15.170 27,27.679 30,37.562 22,122.4,76.1,48.276 20,+0.651,2:24.913,0
2/11/2018,Olympic Games - Pyeongchang,M,21,16,3,CZE,HYMAN Ondrej,2.645 28,15.196 27,27.703 30,37.565 26,122.7,76.2,48.313 25,+0.779,2:24.913,0
2/10/2018,Olympic Games - Pyeongchang,M,22,31,1,GBR,ROSEN Adam,2.713 38,15.289 33,27.772 29,37.689 26,119,73.9,48.477 25,+0.825,2:25.167,0
2/10/2018,Olympic Games - Pyeongchang,M,22,31,2,GBR,ROSEN Adam,2.709 37,15.277 34,27.743 32,37.648 26,118.8,73.8,48.410 23,+0.785,2:25.167,0
2/11/2018,Olympic Games - Pyeongchang,M,22,31,3,GBR,ROSEN Adam,2.691 36,15.288 34,27.695 29,37.537 25,118.8,73.8,48.280 23,+0.746,2:25.167,0
2/10/2018,Olympic Games - Pyeongchang,M,23,35,1,UKR,DUKACH Anton,2.597 13,15.104 17,27.573 20,37.719 27,123.5,76.7,48.888 27,+1.236,2:25.498,0
2/10/2018,Olympic Games - Pyeongchang,M,23,35,2,UKR,DUKACH Anton,2.604 16,15.125 16,27.575 23,37.451 19,119.7,74.4,48.307 21,+0.682,2:25.498,0
2/11/2018,Olympic Games - Pyeongchang,M,23,35,3,UKR,DUKACH Anton,2.600 13,15.144 19,27.605 24,37.491 23,123.8,76.9,48.303 24,+0.769,2:25.498,0
2/10/2018,Olympic Games - Pyeongchang,M,24,21,1,LAT,DARZNIEKS Arturs,2.610 16,15.151 24,27.600 24,37.525 24,123.3,76.6,48.305 22,+0.653,2:25.578,0
2/10/2018,Olympic Games - Pyeongchang,M,24,21,2,LAT,DARZNIEKS Arturs,2.627 24,15.171 28,27.598 24,37.671 28,119.4,74.2,48.671 29,+1.046,2:25.578,0
2/11/2018,Olympic Games - Pyeongchang,M,24,21,3,LAT,DARZNIEKS Arturs,2.606 14,15.142 18,27.551 20,37.628 28,126.2,78.4,48.602 28,+1.068,2:25.578,0
2/10/2018,Olympic Games - Pyeongchang,M,25,12,1,SVK,NINIS Jozef,2.665 32,15.147 21,27.510 15,37.274 8,121.9,75.7,47.833 7,+0.181,2:25.942,0
2/10/2018,Olympic Games - Pyeongchang,M,25,12,2,SVK,NINIS Jozef,2.661 32,15.136 19,27.500 15,38.113 36,119,73.9,50.014 37,+2.389,2:25.942,0
2/11/2018,Olympic Games - Pyeongchang,M,25,12,3,SVK,NINIS Jozef,2.664 33,15.232 31,27.658 27,37.462 22,120.2,74.7,48.095 21,+0.561,2:25.942,0
2/10/2018,Olympic Games - Pyeongchang,M,26,9,1,USA,WEST Tucker,2.545 1,14.990 2,27.382 3,37.479 23,127,78.9,48.484 26,+0.832 SR,2:26.019,0
2/10/2018,Olympic Games - Pyeongchang,M,26,9,2,USA,WEST Tucker,2.577  3,14.990 2,27.419  7,37.259 9,124.9,77.6,47.942 15,+0.317,2:26.019,0
2/11/2018,Olympic Games - Pyeongchang,M,26,9,3,USA,WEST Tucker,2.559 1,15.060 9,27.442 12,37.603 27,125.1,77.7,49.593 37,+2.059,2:26.019,0
2/10/2018,Olympic Games - Pyeongchang,M,27,15,1,POL,SOCHOWICZ Mateusz,2.615 18,15.181 28,27.640 26,37.833 28,126.4,78.5,49.047 29,+1.395,2:26.180,0
2/10/2018,Olympic Games - Pyeongchang,M,27,15,2,POL,SOCHOWICZ Mateusz,2.608 17,15.182 30,27.662 27,37.529 21,124.3,77.2,48.203 19,+0.578,2:26.180,0
2/11/2018,Olympic Games - Pyeongchang,M,27,15,3,POL,SOCHOWICZ Mateusz,2.607 16,15.146 20,27.607 25,37.728 31,129,80.1,48.930 31,+1.396,2:26.180,0
2/10/2018,Olympic Games - Pyeongchang,M,21,16,1,CZE,HYMAN Ondrej,2.638 27,15.191 29,27.723 28,37.608 25,119.7,74.4,48.324 23,+0.672,2:24.913,0
2/10/2018,Olympic Games - Pyeongchang,M,21,16,2,CZE,HYMAN Ondrej,2.652 31,15.170 27,27.679 30,37.562 22,122.4,76.1,48.276 20,+0.651,2:24.913,0
2/11/2018,Olympic Games - Pyeongchang,M,21,16,3,CZE,HYMAN Ondrej,2.645 28,15.196 27,27.703 30,37.565 26,122.7,76.2,48.313 25,+0.779,2:24.913,0
2/10/2018,Olympic Games - Pyeongchang,M,22,31,1,GBR,ROSEN Adam,2.713 38,15.289 33,27.772 29,37.689 26,119,73.9,48.477 25,+0.825,2:25.167,0
2/10/2018,Olympic Games - Pyeongchang,M,22,31,2,GBR,ROSEN Adam,2.709 37,15.277 34,27.743 32,37.648 26,118.8,73.8,48.410 23,+0.785,2:25.167,0
2/11/2018,Olympic Games - Pyeongchang,M,22,31,3,GBR,ROSEN Adam,2.691 36,15.288 34,27.695 29,37.537 25,118.8,73.8,48.280 23,+0.746,2:25.167,0
2/10/2018,Olympic Games - Pyeongchang,M,28,27,1,AUS,FERLAZZO Alex,2.584 9,15.146 19,27.606 25,37.419 21,121.2,75.3,48.073 16,+0.421,2:26.191,0
2/10/2018,Olympic Games - Pyeongchang,M,28,27,2,AUS,FERLAZZO Alex,2.590 7,15.144 21,27.615 25,37.631 25,122.1,75.9,48.587 27,+0.962,2:26.191,0
2/11/2018,Olympic Games - Pyeongchang,M,28,27,3,AUS,FERLAZZO Alex,2.606 14,15.176 26,28.039 36,38.365 38,126.7,78.7,49.531 36,+1.997,2:26.191,0
2/10/2018,Olympic Games - Pyeongchang,M,29,18,1,ROU,CRETU Valentin,2.608 15,15.264 31,27.989 32,38.058 32,120.9,75.1,49.030 28,+1.378,2:26.539,0
2/10/2018,Olympic Games - Pyeongchang,M,29,18,2,ROU,CRETU Valentin,2.645 28,15.084 15,27.534 19,37.765 32,117.9,73.2,49.085 33,+1.460,2:26.539,0
2/11/2018,Olympic Games - Pyeongchang,M,29,18,3,ROU,CRETU Valentin,2.624 23,15.153 23,27.6 23,37.53 24,123.3,76.6,48.424 26,+0.890,2:26.539,0
2/10/2018,Olympic Games - Pyeongchang,M,30,29,1,KOR,LIM Namkyu,2.647 29,15.254 30,27.808 30,37.886 29,122.2,75.9,49.461 31,+1.809,2:26.672,0
2/10/2018,Olympic Games - Pyeongchang,M,30,29,2,KOR,LIM Namkyu,2.641 27,15.213 32,27.741 31,37.666 27,122.8,76.3,48.591 28,+0.966,2:26.672,0
2/11/2018,Olympic Games - Pyeongchang,M,30,29,3,KOR,LIM Namkyu,2.630 26,15.221 29,27.766 32,37.723 30,122.5,76.1,48.620 29,+1.086,2:26.672,0
2/10/2018,Olympic Games - Pyeongchang,M,31,39,1,ROU,TUREA Andrei,2.619 23,15.155 25,27.684 27,38.054 31,121.9,75.7,49.482 32,+1.830,2:27.285,0
2/10/2018,Olympic Games - Pyeongchang,M,31,39,2,ROU,TUREA Andrei,2.620 19,15.168 26,27.665 28,37.603 23,120.2,74.7,48.489 26,+0.864,2:27.285,0
2/11/2018,Olympic Games - Pyeongchang,M,31,39,3,ROU,TUREA Andrei,2.611 18,15.152 22,27.681 28,38.004 34,118.7,73.7,49.314 35,+1.780,2:27.285,0
2/10/2018,Olympic Games - Pyeongchang,M,32,36,1,GEO,SOGOIANI Giorgi,2.672 33,15.284 32,27.885 31,38.048 30,121.6,75.6,49.300 30,+1.648,2:27.459,0
2/10/2018,Olympic Games - Pyeongchang,M,32,36,2,GEO,SOGOIANI Giorgi,2.663 33,15.303 36,27.92 36,38.036 34,120.4,74.8,49.151 34,+1.526,2:27.459,0
2/11/2018,Olympic Games - Pyeongchang,M,32,36,3,GEO,SOGOIANI Giorgi,2.671 34,15.320 35,27.959 34,37.989 33,118.9,73.9,49.008 33,+1.474,2:27.459,0
2/10/2018,Olympic Games - Pyeongchang,M,33,34,1,GBR,STAUDINGER Rupert,2.673 34,15.658 37,28.36 35,38.504 34,121.2,75.3,49.626 33,+1.974,2:27.842,0
2/10/2018,Olympic Games - Pyeongchang,M,33,34,2,GBR,STAUDINGER Rupert,2.688 36,15.251 33,27.847 34,38.057 35,124.2,77.1,49.259 35,+1.634,2:27.842,0
2/11/2018,Olympic Games - Pyeongchang,M,33,34,3,GBR,STAUDINGER Rupert,2.656 32,15.237 32,27.753 31,37.809 32,123.2,76.5,48.957 32,+1.423,2:27.842,0
2/10/2018,Olympic Games - Pyeongchang,M,34,37,1,IND,KESHAVAN Shiva,2.686 37,16.124 40,29.257 38,39.459 36,117.4,72.9,50.578 36,+2.926,2:28.188,0
2/10/2018,Olympic Games - Pyeongchang,M,34,37,2,IND,KESHAVAN Shiva,2.677 34,15.282 35,27.85 35,37.816 33,119.8,74.4,48.710 31,+1.085,2:28.188,0
2/11/2018,Olympic Games - Pyeongchang,M,34,37,3,IND,KESHAVAN Shiva,2.699 37,15.463 38,28.093 39,38.023 35,119.8,74.4,48.900 30,+1.366,2:28.188,0
2/10/2018,Olympic Games - Pyeongchang,M,35,33,1,SVK,SIMONAK Jakub,2.653 31,16.097 39,29.848 39,40.367 39,124.8,77.5,51.724 38,+4.072,2:28.936,0
2/10/2018,Olympic Games - Pyeongchang,M,35,33,2,SVK,SIMONAK Jakub,2.595 11,15.172 29,27.678 29,37.716 31,118.4,73.5,48.690 30,+1.065,2:28.936,0
2/11/2018,Olympic Games - Pyeongchang,M,35,33,3,SVK,SIMONAK Jakub,2.653 30,15.283 33,27.775 33,37.699 29,120.3,74.7,48.522 27,+0.988,2:28.936,0
2/10/2018,Olympic Games - Pyeongchang,M,36,40,1,KAZ,KOPYRENKO Nikita,2.789 40,15.451 34,28.105 33,38.42 33,115.3,71.6,50.147 35,+2.495,2:29.718,0
